"SubscriptionName","ResourceGroup","Name","Type","TagsFaltando","TagsPresentes"
"PlanApp-prd-sub001","pla-sc-prd-ptsust-rg001","ptsustenta-fcfca31c83-wpidentity","microsoft.managedidentity/userassignedidentities","departamento, ambiente, projeto, centrocusto","subscription, wordpressdeploymentid, appprofile"
"PlanApp-prd-sub001","pla-we-prd-data-rg001","adb-westeurope-npip-61bf45ff3e2c3375a113b41a","microsoft.network/networkintentpolicies","departamento, ambiente, projeto, centrocusto","subscription"
"PlanApp-prd-sub001","pla-we-prd-data-rg001","adb-westeurope-npip-65a8c440ff9c5748d24ad911","microsoft.network/networkintentpolicies","departamento, ambiente, projeto, centrocusto","subscription"
"PlanApp-prd-sub001","pla-we-prd-avd-rg001","avd-data-ha-1-nic","microsoft.network/networkinterfaces","departamento, ambiente, projeto, centrocusto","cm-resource-parent, subscription"
"PlanApp-prd-sub001","pla-we-prd-avd-rg001","avd-ha-3-0-nic","microsoft.network/networkinterfaces","departamento, ambiente, projeto, centrocusto","cm-resource-parent, subscription"
"PlanApp-prd-sub001","pla-we-prd-avd-rg001","avd-w11-7-nic","microsoft.network/networkinterfaces","departamento, ambiente, projeto, centrocusto","cm-resource-parent, subscription"
"PlanApp-prd-sub001","pla-we-prd-data-rg001","nic-pe-adf-data-001","microsoft.network/networkinterfaces","departamento, ambiente, projeto, centrocusto","subscription"
"PlanApp-prd-sub001","pla-we-prd-data-rg001","nic-pe-adf-data-002","microsoft.network/networkinterfaces","departamento, ambiente, projeto, centrocusto","subscription"
"PlanApp-prd-sub001","pla-we-prd-data-rg001","nic-pe-data-sql-001","microsoft.network/networkinterfaces","departamento, ambiente, projeto, centrocusto","subscription"
"PlanApp-prd-sub001","pla-we-prd-data-rg001","nic-pe-data-stg-001","microsoft.network/networkinterfaces","departamento, ambiente, projeto, centrocusto","subscription"
"PlanApp-prd-sub001","pla-we-prd-avd-rg001","nic-pe-stg-avd-001","microsoft.network/networkinterfaces","departamento, ambiente, projeto, centrocusto","subscription"
"PlanApp-prd-sub001","pla-we-shared-prd-rg001","nic-pe-stg-avd-001","microsoft.network/networkinterfaces","departamento, ambiente, projeto, centrocusto","subscription"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg002","planapp-cpanel-v4929_z1","microsoft.network/networkinterfaces","departamento, ambiente, projeto, centrocusto","environment, owner, project, subscription"
"PlanApp-prd-sub001","pla-we-shared-mgmt-rg001","vm-prd-mgmt001-nic001","microsoft.network/networkinterfaces","departamento, ambiente, projeto, centrocusto","environment, owner, project, subscription, scope"
"PlanApp-prd-sub001","pla-we-prd-avd-rg001","avd-data-ha-1-nic-nsg","microsoft.network/networksecuritygroups","departamento, ambiente, projeto, centrocusto","subscription"
"PlanApp-prd-sub001","pla-we-prd-data-rg001","databricksnsg4bhcyhyu2rj2y","microsoft.network/networksecuritygroups","departamento, ambiente, projeto, centrocusto","subscription"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg002","planapp-cpanel-v4-nsg","microsoft.network/networksecuritygroups","departamento, ambiente, projeto, centrocusto","environment, owner, project, subscription"
"PlanApp-prd-sub001","networkwatcherrg","NetworkWatcher_northeurope","microsoft.network/networkwatchers","departamento, ambiente, projeto, centrocusto","subscription"
