"SubscriptionName","ResourceGroup","Name","Type","PrefixEsperado","Problema"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg002","planapp-prd-v2","microsoft.web/sites","app","Nome não segue padrão v2.0: esperado 'app-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg002","planapp-prd-v3","microsoft.web/sites","app","Nome não segue padrão v2.0: esperado 'app-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg004","portal-planapp","microsoft.web/sites","app","Nome não segue padrão v2.0: esperado 'app-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-sc-prd-ptsust-rg001","ptsustentavel","microsoft.web/sites","app","Nome não segue padrão v2.0: esperado 'app-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg003","siail-prd-v3","microsoft.web/sites","app","Nome não segue padrão v2.0: esperado 'app-[workload]-[ambiente]-[regiao]-NNN'"
"PlanAPP-AZURE-TEMP","ai2","VM-AI2-ip","microsoft.network/publicipaddresses","pip","Nome não segue padrão v2.0: esperado 'pip-[workload]-[ambiente]-[regiao]-NNN'"
"PlanAPP-AZURE-TEMP","ai2","VM-AI2-vnet","microsoft.network/virtualnetworks","vnet","Nome não segue padrão v2.0: esperado 'vnet-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-hub-sub001","pla-we-shared-hub-rg001","vm-hub-addc-01_OsDisk_1_e14f05d3a2d0482bbb33795c223a94e5","microsoft.compute/disks","disk","Nome não segue padrão v2.0: esperado 'disk-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-hub-sub001","pla-we-shared-mgmt-rg001","vm-hub-mgmt001-OSDisk","microsoft.compute/disks","disk","Nome não segue padrão v2.0: esperado 'disk-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-hub-sub001","pla-we-shared-hub-rg001","vm-hub-test-001_OsDisk_1_f02d5d8739ca4a01bdbab224d3104f19","microsoft.compute/disks","disk","Nome não segue padrão v2.0: esperado 'disk-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-hub-sub001","pla-ne-nettest-rg001","win-nettest-agw_OsDisk_1_39fea84fac5c47c2958d87b25db6cf67","microsoft.compute/disks","disk","Nome não segue padrão v2.0: esperado 'disk-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-hub-sub001","pla-ne-nettest-rg001","win-nettest-agw","microsoft.compute/virtualmachines","vm","Nome não segue padrão v2.0: esperado 'vm-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-hub-sub001","pla-we-hub-netsec-rg001","pla-we-hub-netsec-kv001","microsoft.keyvault/vaults","kv","Nome não segue padrão v2.0: esperado 'kv-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-hub-sub001","pla-ne-hub-netsec-rg002","pla-ne-pp-shared-agw001","microsoft.network/applicationgateways","agw","Nome não segue padrão v2.0: esperado 'agw-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-hub-sub001","pla-ne-hub-netsec-rg002","pla-ne-prd-shared-agw001","microsoft.network/applicationgateways","agw","Nome não segue padrão v2.0: esperado 'agw-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-hub-sub001","pla-we-shared-hub-rg002","pla-we-prd-shared-agw001","microsoft.network/applicationgateways","agw","Nome não segue padrão v2.0: esperado 'agw-[workload]-[ambiente]-[regiao]-NNN'"
